id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,apartment condition,sub_area,price
82299,2014-07-10,65,,7.0,12.0,6.0,,3.0,1.0,1.0,87,3600766.48696
39355,2012-04-01,39,18.0,11.0,,,,,,,135,2429520.0
45154,2014-04-01,54,30.0,6.0,14.0,6.0,2003.0,2.0,11.0,2.0,41,10284968.0
83403,2015-02-09,51,30.0,10.0,17.0,1.0,1984.0,2.0,8.0,2.0,117,7126592.0
34645,2013-08-02,82,,3.0,,,,,,,65,8739948.76928
66827,2015-06-05,51,,2.0,0.0,1.0,,2.0,0.0,,96,2073190.4
10434,2014-01-25,45,28.0,3.0,5.0,5.0,1966.0,2.0,5.0,3.0,22,5061500.0
85496,2014-04-15,70,60.0,13.0,17.0,1.0,2015.0,3.0,1.0,1.0,72,5800462.8032
63230,2013-04-14,56,41.0,7.0,,,,,,,40,2024600.0
16879,2013-01-21,51,,4.0,,,,,,,103,3440834.4247199995
91328,2014-11-12,42,,4.0,1.0,1.0,1.0,1.0,1.0,,134,3605407.68
99816,2014-08-06,65,64.0,9.0,17.0,6.0,2015.0,3.0,1.0,1.0,87,3600766.48696
54080,2014-06-25,72,0.0,10.0,0.0,2.0,2016.0,2.0,0.0,2.0,94,6261068.21144
12189,2012-09-22,40,18.0,8.0,,,,,,,105,3211196.19432
42106,2012-07-18,45,29.0,6.0,,,,,,,118,5992816.0
41800,2014-12-30,62,62.0,8.0,22.0,6.0,2015.0,2.0,12.0,1.0,103,5820828.659519999
51789,2012-11-20,77,,11.0,,,,,,,102,4739183.68
14332,2014-10-13,62,32.0,4.0,12.0,1.0,2012.0,2.0,12.0,2.0,21,809840.0
70516,2012-05-09,44,28.0,1.0,,,,,,,43,5344944.0
57505,2013-07-24,48,,12.0,,,,,,,129,5982533.461519999
58656,2013-09-16,69,69.0,17.0,25.0,4.0,2012.0,3.0,19.0,1.0,5,11200163.32496
20913,2012-09-09,44,28.0,12.0,,,,,,,80,5668880.0
52014,2015-01-17,56,33.0,12.0,15.0,2.0,1981.0,2.0,9.0,2.0,0,12552520.0
32806,2013-07-20,59,42.0,5.0,9.0,1.0,1969.0,3.0,6.0,3.0,43,8098400.0
74981,2012-10-24,37,,12.0,,,,,,,86,2651881.0081599997
60051,2014-08-19,42,28.0,1.0,5.0,2.0,1963.0,2.0,5.0,3.0,40,4859040.0
28305,2014-12-30,70,43.0,17.0,25.0,1.0,1981.0,3.0,10.0,,134,6883640.0
43202,2012-03-04,169,,25.0,,,,,,,77,16887441.27008
97284,2014-05-21,40,,11.0,17.0,1.0,,1.0,0.0,,72,3563296.0
41319,2012-05-04,49,34.0,4.0,,,,,,,1,809840.0
48185,2012-09-20,35,19.0,9.0,,,,,,,10,4211168.0
81548,2013-04-07,45,30.0,5.0,,,,,,,128,6154784.0
94463,2011-11-03,58,38.0,8.0,,,,,,,20,7450528.0
43551,2013-11-09,55,55.0,1.0,1.0,2.0,2013.0,1.0,10.0,1.0,132,1910210.1
54979,2012-11-27,76,,7.0,,,,,,,102,4782834.056
64785,2015-02-14,84,,2.0,0.0,1.0,,3.0,0.0,,102,5608109.6064
24829,2014-04-24,40,20.0,5.0,12.0,1.0,2004.0,1.0,8.0,2.0,56,4454120.0
63427,2014-04-04,42,28.0,7.0,9.0,2.0,1970.0,2.0,5.0,2.0,5,5911832.0
75944,2014-10-16,64,64.0,12.0,17.0,1.0,0.0,2.0,1.0,1.0,94,4924198.91656
77950,2014-01-08,48,31.0,9.0,12.0,1.0,1967.0,2.0,8.0,2.0,30,809840.0
43719,2013-05-08,38,,10.0,,,,,,,72,3200309.5152
18040,2014-05-15,55,29.0,7.0,12.0,1.0,2004.0,2.0,8.0,2.0,45,6195276.0
52332,2012-11-10,51,,3.0,,,,,,,134,3327454.3952
74111,2012-08-02,58,34.0,15.0,,,,,,,60,7693480.0
46346,2014-03-16,72,,24.0,25.0,1.0,,2.0,0.0,,72,5593159.96
89417,2012-03-29,29,29.0,4.0,,,,,,,137,4211168.0
75402,2012-03-06,57,33.0,3.0,,,,,,,77,8584304.0
81208,2014-01-22,40,24.0,7.0,12.0,1.0,1970.0,2.0,5.0,2.0,85,5506912.0
98684,2014-05-22,39,19.0,17.0,17.0,1.0,1992.0,1.0,8.0,3.0,60,5101992.0
96820,2014-01-17,36,20.0,8.0,12.0,1.0,1968.0,1.0,9.0,3.0,46,5668880.0
46234,2014-09-15,53,30.0,3.0,12.0,1.0,1980.0,2.0,8.0,3.0,42,5223468.0
74400,2012-06-24,126,,23.0,,,,,,,77,17235682.188160002
48822,2012-06-11,83,53.0,3.0,,,,,,,1,13605312.0
94882,2015-04-23,78,53.0,7.0,11.0,2.0,1957.0,3.0,9.0,2.0,122,13605312.0
19428,2014-07-08,40,,17.0,17.0,1.0,,1.0,1.0,1.0,129,3563296.0
21660,2015-02-15,56,34.0,9.0,9.0,2.0,1967.0,3.0,5.0,2.0,57,9718080.0
65975,2014-12-31,81,50.0,11.0,17.0,5.0,2012.0,3.0,10.0,3.0,132,809840.0
60864,2014-07-12,37,37.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,134,2478115.2590400004
72359,2014-03-12,30,22.0,3.0,5.0,2.0,1962.0,2.0,5.0,3.0,25,4049200.0
30505,2012-03-16,45,30.0,4.0,,,,,,,108,5830848.0
24027,2014-05-13,53,32.0,7.0,17.0,1.0,1994.0,2.0,53.0,3.0,22,7288560.0
63219,2012-03-27,39,17.0,24.0,,,,,,,8,5344944.0
49869,2015-05-28,51,31.0,11.0,12.0,5.0,1974.0,1.0,8.0,2.0,83,4656580.0
89003,2014-01-18,32,21.0,9.0,9.0,5.0,1964.0,1.0,5.0,3.0,22,5668880.0
91501,2014-05-27,35,18.0,2.0,12.0,1.0,1981.0,1.0,6.0,3.0,143,4211168.0
52204,2014-02-22,74,,4.0,16.0,2.0,,2.0,14.0,,132,3767587.85808
23379,2014-12-25,30,18.0,2.0,5.0,2.0,1964.0,1.0,5.0,2.0,56,4211168.0
74636,2015-01-08,56,,2.0,3.0,2.0,,2.0,7.0,1.0,96,2263885.85432
92543,2014-04-07,31,18.0,3.0,8.0,2.0,1963.0,1.0,6.0,2.0,131,5223468.0
36825,2014-09-15,73,35.0,12.0,24.0,4.0,2002.0,2.0,11.0,,43,12957440.0
31921,2014-01-17,64,41.0,10.0,12.0,1.0,1982.0,3.0,6.0,3.0,92,4535104.0
67134,2014-10-12,45,30.0,5.0,5.0,1.0,1965.0,2.0,6.0,2.0,84,4940024.0
60823,2015-01-04,55,36.0,2.0,9.0,2.0,1968.0,3.0,5.0,3.0,106,6397736.0
57077,2013-11-15,41,23.0,9.0,12.0,1.0,1978.0,2.0,6.0,,83,809840.0
36451,2014-10-20,37,36.0,3.0,25.0,4.0,2007.0,1.0,16.0,2.0,108,7693480.0
66554,2013-03-06,36,20.0,3.0,,,,,,,21,4130184.0
30868,2014-04-27,148,148.0,17.0,17.0,1.0,2014.0,5.0,1.0,1.0,17,25890989.72
14327,2014-04-15,40,40.0,11.0,17.0,1.0,,1.0,9.0,,124,3149079.0368
97597,2013-11-01,40,26.0,4.0,5.0,1.0,1965.0,2.0,5.0,2.0,50,1619680.0
50291,2014-12-11,77,,7.0,17.0,1.0,,3.0,1.0,1.0,134,5977833.96
74434,2015-03-23,96,96.0,22.0,25.0,1.0,2016.0,3.0,96.0,1.0,111,12767224.7808
66270,2012-11-03,36,17.0,5.0,,,,,,,143,2651881.0081599997
96486,2013-03-10,40,18.0,4.0,,,,,,,105,3258148.288
68547,2014-12-27,54,30.0,2.0,14.0,1.0,1987.0,2.0,8.0,3.0,71,7369544.0
83744,2014-05-14,45,28.0,6.0,9.0,1.0,1967.0,2.0,6.0,3.0,44,5466420.0
97188,2012-12-12,40,18.0,14.0,,,,,,,34,2631980.0
65708,2013-06-04,37,18.0,4.0,,,,,,,22,4859040.0
59553,2015-02-24,75,40.0,4.0,21.0,4.0,2014.0,2.0,11.0,,109,9018580.7
24792,2012-06-05,77,51.0,2.0,,,,,,,22,8584304.0
38346,2014-04-26,79,79.0,3.0,12.0,1.0,2014.0,3.0,1.0,1.0,126,12034011.8416
40932,2013-04-04,53,32.0,15.0,,,,,,,37,7288560.0
62628,2013-08-06,44,27.0,8.0,,,,,,,110,809840.0
73479,2012-01-11,32,18.0,8.0,,,,,,,36,3761795.07256
50108,2014-02-17,42,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,48,3537381.12
35665,2012-08-05,54,29.0,18.0,,,,,,,114,809840.0
22536,2012-12-26,45,40.0,15.0,,,,,,,105,3196418.2339999997
20478,2014-01-04,32,18.0,4.0,9.0,1.0,1970.0,1.0,6.0,2.0,58,4535104.0
87042,2014-11-25,71,42.0,16.0,22.0,5.0,1981.0,3.0,8.0,3.0,130,11580712.0
53519,2012-02-27,40,20.0,14.0,,,,,,,60,4697072.0
47330,2015-06-24,30,20.0,1.0,5.0,5.0,1960.0,1.0,5.0,3.0,30,809840.0
63307,2013-09-19,76,45.0,16.0,,,,,,,137,10230465.768
67618,2014-03-22,42,26.0,2.0,5.0,2.0,1966.0,2.0,5.0,2.0,39,5142484.0
85124,2012-10-09,35,35.0,9.0,,,,,,,102,2855738.792
99667,2012-04-30,74,51.0,4.0,,,,,,,118,2186568.0
30526,2014-09-13,79,76.0,13.0,17.0,1.0,2015.0,3.0,1.0,1.0,72,5995083.552
21106,2015-01-09,32,18.0,9.0,9.0,1.0,1968.0,1.0,6.0,2.0,32,4656580.0
24147,2015-05-05,76,55.0,6.0,24.0,6.0,2017.0,3.0,12.0,1.0,70,9521221.66328
45002,2013-05-26,90,,8.0,,,,,,,94,6988166.0488
76167,2013-12-17,39,17.0,3.0,18.0,1.0,2008.0,1.0,8.0,3.0,44,5182976.0
88201,2012-11-15,76,71.0,,,,,,,,105,4766230.71632
20141,2012-10-26,44,44.0,6.0,,,,,,,118,5344944.0
38221,2013-06-30,35,19.0,3.0,,,,,,,118,4778056.0
20610,2014-06-26,45,25.0,1.0,9.0,1.0,1980.0,2.0,6.0,3.0,34,5830848.0
26799,2014-08-13,53,32.0,8.0,14.0,1.0,1995.0,2.0,9.0,3.0,60,6883640.0
49019,2013-02-25,50,,3.0,,,,,,,102,3864758.94
72647,2014-11-29,71,71.0,6.0,0.0,4.0,2015.0,2.0,0.0,1.0,71,10580195.172
38071,2013-05-16,32,18.0,3.0,,,,,,,9,4535104.0
28904,2014-10-22,39,19.0,13.0,16.0,1.0,1987.0,1.0,8.0,,126,5668880.0
29329,2012-02-12,52,52.0,11.0,,,,,,,65,5992816.0
20933,2014-12-09,60,34.0,14.0,17.0,1.0,1991.0,2.0,10.0,,60,6478720.0
75396,2013-01-21,40,,7.0,,,,,,,72,3368934.4
67676,2014-11-28,39,24.0,3.0,9.0,2.0,1965.0,2.0,6.0,3.0,44,5587896.0
17873,2013-03-12,67,47.0,14.0,,,,,,,56,7693480.0
13836,2014-12-30,32,18.0,9.0,9.0,1.0,1974.0,1.0,6.0,2.0,83,4292152.0
49148,2013-10-28,39,21.0,7.0,14.0,1.0,1991.0,1.0,8.0,3.0,115,4778056.0
56382,2014-11-23,33,20.0,8.0,9.0,1.0,1966.0,2.0,6.0,3.0,20,7045608.0
82922,2014-12-05,86,67.0,1.0,9.0,1.0,1971.0,5.0,5.0,2.0,18,8260368.0
96604,2012-06-15,55,29.0,13.0,,,,,,,137,2429520.0
95279,2014-10-05,78,,14.0,17.0,4.0,,3.0,1.0,,103,6884083.79232
44502,2012-06-05,42,,11.0,,,,,,,102,2716932.216
35919,2013-05-28,49,18.0,7.0,,,,,,,105,3724567.5376
31139,2015-05-18,59,59.0,12.0,17.0,4.0,2017.0,2.0,10.0,1.0,70,7765891.8436
20309,2014-05-01,52,50.0,11.0,17.0,2.0,2015.0,2.0,1.0,1.0,87,2965293.9472
93310,2015-06-12,32,20.0,3.0,5.0,1.0,1966.0,1.0,5.0,2.0,124,3563296.0
36922,2014-06-10,51,31.0,9.0,17.0,1.0,1994.0,2.0,8.0,3.0,65,809840.0
82987,2015-06-07,160,160.0,3.0,3.0,2.0,,1.0,1.0,,97,6438228.0
52960,2014-04-07,43,27.0,4.0,5.0,1.0,1963.0,2.0,5.0,3.0,58,5101992.0
63751,2011-11-30,45,32.0,4.0,,,,,,,11,809840.0
47424,2014-07-29,72,45.0,5.0,17.0,1.0,1999.0,3.0,9.0,2.0,44,9637096.0
19149,2012-09-04,74,45.0,3.0,,,,,,,65,8260368.0
22444,2012-12-30,46,,6.0,,,,,,,102,3105412.4639999997
62081,2012-11-02,58,,21.0,,,,,,,103,4100349.4944
83715,2013-03-11,31,18.0,4.0,,,,,,,64,3644280.0
52598,2013-12-06,63,,13.0,17.0,1.0,,2.0,0.0,,72,4781139.87072
50640,2013-01-28,77,,2.0,,,,,,,72,4722488.8284
22049,2014-08-04,63,31.0,10.0,22.0,1.0,1985.0,2.0,10.0,,37,8138892.0
65694,2015-01-17,42,42.0,2.0,17.0,1.0,2015.0,1.0,0.0,1.0,102,3772072.752
73885,2013-12-16,80,32.0,5.0,7.0,2.0,1998.0,2.0,13.0,4.0,38,12552520.0
52544,2014-06-03,85,48.0,3.0,16.0,1.0,2014.0,3.0,1.0,1.0,105,7194454.97232
13502,2014-12-02,31,18.0,4.0,9.0,2.0,1963.0,1.0,7.0,3.0,41,5749864.0
79207,2014-12-06,54,32.0,16.0,16.0,1.0,1976.0,2.0,9.0,3.0,37,8017416.0
61683,2011-10-04,46,29.0,9.0,,,,,,,129,4454120.0
71433,2014-03-10,37,18.0,1.0,14.0,2.0,1976.0,1.0,8.0,2.0,12,4535104.0
58563,2014-06-30,34,19.0,1.0,12.0,5.0,1972.0,1.0,9.0,2.0,136,3320344.0
68378,2012-11-21,35,20.0,4.0,,,,,,,112,3603788.0
13258,2014-11-27,45,28.0,2.0,5.0,5.0,1966.0,2.0,5.0,3.0,59,6478720.0
25212,2015-03-19,72,43.0,9.0,16.0,1.0,1982.0,3.0,10.0,3.0,70,11580712.0
97350,2013-08-20,63,,12.0,,,,,,,72,4482318.6288
20804,2014-07-14,40,,17.0,0.0,1.0,,1.0,0.0,,101,3234375.4348
52534,2015-01-03,62,,23.0,25.0,1.0,2015.0,2.0,1.0,,72,5306071.68
33192,2014-01-23,57,30.0,8.0,8.0,1.0,2004.0,2.0,11.0,3.0,56,5968520.8
16994,2014-03-27,53,32.0,1.0,17.0,1.0,1989.0,2.0,9.0,,124,5830848.0
33524,2012-01-20,31,19.0,2.0,,,,,,,15,3563296.0
47307,2015-01-30,74,47.0,1.0,5.0,2.0,1955.0,3.0,7.0,3.0,34,9151192.0
25479,2013-08-26,28,16.0,3.0,8.0,2.0,1959.0,1.0,5.0,2.0,2,4454120.0
87743,2013-10-02,45,,9.0,25.0,1.0,,3.0,1.0,,102,3721619.72
25523,2014-12-28,50,34.0,9.0,9.0,1.0,1968.0,3.0,6.0,2.0,118,7612496.0
96926,2011-10-08,38,37.0,11.0,,,,,,,22,4859040.0
91061,2014-05-05,63,1.0,15.0,17.0,2.0,2014.0,2.0,1.0,1.0,134,4381626.36256
64226,2015-03-02,56,55.0,5.0,19.0,1.0,2015.0,2.0,1.0,1.0,70,10103273.107439999
77879,2015-01-10,51,34.0,2.0,7.0,2.0,1961.0,2.0,8.0,3.0,81,10932840.0
13162,2013-11-18,55,35.0,2.0,9.0,2.0,1960.0,2.0,8.0,2.0,7,7895940.0
48567,2012-10-01,38,,15.0,,,,,,,72,3157890.0960000004
58282,2014-11-01,58,51.0,4.0,22.0,5.0,1981.0,2.0,8.0,2.0,120,1700664.0
47046,2013-10-13,30,18.0,2.0,5.0,2.0,1963.0,1.0,4.0,3.0,129,4211168.0
16853,2014-09-25,71,71.0,5.0,99.0,6.0,,2.0,9.0,,94,6870978.1516
18464,2013-11-17,76,45.0,14.0,17.0,1.0,1998.0,3.0,10.0,3.0,77,13524328.0
24814,2015-05-23,80,,17.0,6.0,1.0,,3.0,1.0,,98,6096848.0464
37135,2015-03-23,40,,8.0,1.0,1.0,2015.0,1.0,1.0,1.0,58,5801917.27584
46079,2013-02-24,48,,5.0,,,,,,,102,3579047.3880000003
52062,2013-06-27,69,43.0,16.0,,,,,,,81,10527920.0
20306,2013-08-14,56,39.0,4.0,,,,,,,109,7693480.0
64270,2013-07-15,38,38.0,16.0,,,,,,,103,3123389.29232
89965,2015-02-09,38,18.0,11.0,16.0,5.0,1987.0,1.0,9.0,3.0,50,6316752.0
28354,2012-11-07,138,138.0,1.0,,,,,,,97,4695854.00064
22574,2012-09-25,45,28.0,8.0,,,,,,,3,5547404.0
18088,2014-02-09,54,31.0,15.0,16.0,1.0,1980.0,2.0,8.0,2.0,79,6478720.0
52352,2013-12-27,35,19.0,16.0,16.0,5.0,1976.0,1.0,10.0,2.0,11,4211168.0
43996,2012-06-11,81,48.0,13.0,,,,,,,134,16034832.0
31401,2014-04-30,44,28.0,2.0,9.0,1.0,1969.0,2.0,6.0,3.0,78,4778056.0
84305,2014-04-18,46,,9.0,1.0,1.0,,1.0,1.0,,102,4378147.289919999
33250,2015-01-15,80,47.0,9.0,14.0,1.0,1995.0,3.0,8.0,3.0,141,9475128.0
54852,2013-04-10,46,46.0,15.0,,,,,,,143,3358351.41088
85357,2014-01-09,82,50.0,2.0,9.0,2.0,1954.0,3.0,9.0,,69,9693784.8
83709,2013-04-15,28,14.0,4.0,,,,,,,2,4980516.0
56281,2014-04-18,57,,7.0,12.0,1.0,,2.0,0.0,,86,3842361.19512
47293,2014-11-02,66,35.0,4.0,4.0,2.0,1947.0,2.0,10.0,2.0,119,9637096.0
14099,2015-04-30,66,,5.0,17.0,1.0,,2.0,1.0,1.0,65,7733416.44976
60177,2014-05-02,38,38.0,5.0,12.0,4.0,2014.0,1.0,10.0,1.0,86,3062519.2884
55681,2015-02-10,42,26.0,2.0,5.0,5.0,1962.0,2.0,5.0,2.0,61,5506912.0
25812,2013-05-28,41,,5.0,,,,,,,17,5871032.2608
48561,2014-05-08,39,,8.0,17.0,1.0,,1.0,0.0,,94,3200794.6093599997
31468,2014-06-22,85,,15.0,20.0,1.0,,3.0,1.0,,103,7431180.11256
89414,2014-03-23,76,49.0,5.0,5.0,2.0,1956.0,3.0,10.0,3.0,84,8989224.0
49279,2013-06-11,39,20.0,10.0,,,,,,,60,4494612.0
98579,2013-01-06,61,60.0,15.0,,,,,,,126,8249268.33296
14245,2014-06-17,77,46.0,7.0,17.0,1.0,1988.0,3.0,10.0,3.0,74,8260368.0
55220,2014-12-13,32,21.0,9.0,9.0,5.0,1966.0,1.0,5.0,,109,1619680.0
15102,2012-11-17,37,18.0,16.0,,,,,,,143,4049200.0
58495,2014-10-08,53,32.0,4.0,16.0,1.0,1978.0,2.0,9.0,3.0,3,7045608.0
50756,2013-09-15,97,56.0,16.0,23.0,6.0,2007.0,3.0,10.0,1.0,51,2429520.0
91210,2015-01-14,39,19.0,7.0,17.0,1.0,1983.0,1.0,8.0,2.0,10,1619680.0
25498,2014-12-04,77,77.0,2.0,17.0,1.0,0.0,3.0,0.0,1.0,103,6582495.327120001
93656,2013-04-19,51,31.0,13.0,,,,,,,60,6964624.0
35294,2013-07-30,63,,16.0,,,,,,,72,4482318.6288
62584,2014-07-18,54,32.0,3.0,17.0,1.0,2013.0,2.0,8.0,2.0,72,5073080.712
93812,2013-11-07,64,,14.0,17.0,1.0,,2.0,1.0,,143,4754654.86336
37618,2014-12-22,35,18.0,3.0,5.0,2.0,1979.0,1.0,8.0,2.0,50,5830848.0
25707,2014-12-12,42,42.0,7.0,17.0,1.0,2015.0,1.0,1.0,1.0,102,3401255.1144
39936,2014-10-29,40,40.0,3.0,17.0,1.0,0.0,1.0,0.0,1.0,103,4587693.38992
26149,2012-11-24,52,,17.0,,,,,,,72,4044867.356
63966,2014-07-17,41,37.0,9.0,1.0,1.0,,1.0,1.0,,105,4211168.0
12437,2015-03-04,16,11.0,3.0,5.0,2.0,1952.0,1.0,1.0,3.0,140,1619680.0
43439,2014-04-25,66,39.0,5.0,12.0,2.0,1983.0,3.0,8.0,3.0,128,14091216.0
34481,2013-01-01,51,51.0,12.0,,,,,,,72,4108399.3039999995
75822,2015-03-31,38,19.0,5.0,10.0,1.0,1996.0,1.0,8.0,2.0,76,4697072.0
18033,2015-01-20,62,38.0,9.0,9.0,1.0,1977.0,3.0,8.0,2.0,39,8098400.0
53855,2014-10-20,62,,13.0,0.0,1.0,,2.0,0.0,,65,7765044.750960001
89454,2013-03-18,36,14.0,5.0,,,,,,,84,4535104.0
50807,2013-01-01,36,,2.0,,,,,,,143,2710721.55304
83817,2012-09-19,43,,21.0,,,,,,,65,5044930.6736
34636,2014-10-14,74,45.0,3.0,17.0,1.0,1983.0,3.0,10.0,3.0,34,9718080.0
89732,2012-12-20,36,35.0,11.0,,,,,,,21,4292152.0
56618,2015-04-20,53,32.0,16.0,17.0,1.0,1994.0,2.0,9.0,3.0,22,8705780.0
99991,2012-02-17,53,,3.0,,,,,,,34,7042122.448639999
92598,2014-08-02,36,20.0,9.0,12.0,5.0,1968.0,1.0,9.0,2.0,6,6640688.0
68372,2012-09-30,58,30.0,6.0,,,,,,,62,6397736.0
65446,2013-10-16,43,27.0,1.0,5.0,2.0,1965.0,2.0,5.0,3.0,75,4535104.0
16335,2014-02-25,34,,7.0,1.0,2.0,,1.0,1.0,,87,2092678.38976
62737,2012-10-16,63,30.0,9.0,,,,,,,134,4173146.012
42547,2014-09-25,33,17.0,2.0,12.0,5.0,1966.0,1.0,9.0,,52,4616088.0
76784,2014-11-27,40,,3.0,17.0,1.0,,1.0,1.0,1.0,103,4465734.72528
42090,2014-04-18,77,,12.0,17.0,1.0,,3.0,1.0,,124,5124329.00688
72200,2013-07-03,60,,6.0,,,,,,,126,8491172.4
99098,2015-04-17,40,,13.0,17.0,1.0,2015.0,1.0,10.0,,103,4101515.664
60257,2014-05-26,94,94.0,14.0,20.0,4.0,2013.0,3.0,10.0,1.0,126,13448267.8272
71445,2013-09-28,64,64.0,2.0,17.0,4.0,2015.0,2.0,12.0,1.0,102,4330432.32696
45323,2014-09-12,50,50.0,14.0,14.0,1.0,,1.0,1.0,,102,4668225.4992
57982,2015-06-04,33,17.0,10.0,12.0,1.0,1968.0,1.0,9.0,3.0,113,5952324.0
56781,2013-10-18,37,,16.0,17.0,1.0,,1.0,1.0,,134,3259263.43768
52496,2012-11-12,76,45.0,4.0,,,,,,,137,9165283.216
18279,2014-03-25,31,18.0,3.0,17.0,2.0,1964.0,1.0,5.0,,132,2429520.0
77284,2014-12-25,58,36.0,6.0,9.0,2.0,1960.0,2.0,9.0,2.0,26,11742680.0
38081,2014-02-28,45,30.0,4.0,5.0,1.0,1964.0,2.0,5.0,2.0,84,5466420.0
92666,2015-01-31,44,34.0,5.0,17.0,1.0,2014.0,1.0,10.0,1.0,19,6241436.88
22909,2012-09-25,38,20.0,2.0,,,,,,,60,4616088.0
34855,2014-03-29,70,33.0,21.0,25.0,1.0,2010.0,2.0,9.0,3.0,74,8260368.0
40225,2014-05-12,53,33.0,1.0,16.0,1.0,1968.0,3.0,6.0,1.0,41,5021008.0
12744,2015-05-27,37,35.0,15.0,16.0,5.0,1987.0,1.0,10.0,3.0,1,6073800.0
92507,2015-03-06,53,29.0,13.0,14.0,6.0,2007.0,2.0,9.0,3.0,125,6802656.0
77657,2014-01-05,39,19.0,13.0,17.0,1.0,1992.0,1.0,8.0,,65,5385436.0
36869,2011-12-02,37,22.0,5.0,,,,,,,46,4980516.0
