id,population,indust_part,preschool_facilities,school_facilities,hospital_beds_raion,healthcare_facilities,university_num,sport_objects_facilities,additional_education_facilities,culture_objects_facilities,shopping_centers_facilities,office_num,green_part,prom_part,cafe_count,church_facilities,mosque,leisure_facilities
22018,104410,0.069660344,7,9,,1,0,8,4,0,2,4,3.21,0.0,1,0,0,0
65808,71715,0.21843974,2,2,1450.0,4,0,4,1,0,7,6,21.52,0.0,1,1,0,0
54577,56535,0.236108458,4,4,,3,0,14,5,0,10,27,2.67,0.0,7,0,0,0
39584,32241,0.211401214,0,0,,0,0,0,3,0,1,0,21.1,0.0,0,0,0,0
22379,155572,6.99893e-05,5,5,240.0,1,0,7,3,0,16,1,13.45,8.79,4,0,0,0
27727,155572,6.99893e-05,5,5,240.0,1,0,7,3,0,16,1,9.26,0.0,3,1,0,0
92241,4001,0.007122317,0,0,,0,0,0,0,0,1,0,38.39,2.83,0,0,0,0
44055,61039,0.0,5,5,620.0,1,1,9,5,0,2,5,2.98,0.0,1,0,0,0
39470,4001,0.007122317,0,0,,0,0,0,0,0,1,0,15.29,2.83,1,0,0,0
37279,2546,0.034656082000000005,0,0,,0,0,0,0,0,0,0,16.86,2.72,0,0,0,0
52830,9553,0.072157581,0,0,,0,0,1,0,0,0,1,17.94,1.51,0,0,0,0
81614,118843,0.309479124,2,3,990.0,0,0,7,3,0,6,4,0.0,37.78,0,0,0,0
51841,4001,0.007122317,0,0,,0,0,0,0,0,1,0,15.29,2.83,1,0,0,0
65180,166803,0.111627393,4,5,1970.0,2,0,18,4,0,3,8,0.0,18.59,3,0,0,0
13421,9553,0.072157581,0,0,,0,0,1,0,0,0,1,17.94,1.51,0,0,0,0
98880,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,42.63,5.76,0,0,0,0
21714,21819,0.075778755,0,0,,0,0,3,3,0,2,3,21.17,14.29,0,0,0,0
33987,85219,0.161531741,6,6,30.0,2,0,4,1,0,4,1,3.06,0.0,0,0,0,0
29133,87713,0.458174486,4,4,1130.0,1,0,6,2,0,5,1,27.42,24.03,1,0,0,0
75791,4001,0.007122317,0,0,,0,0,0,0,0,1,0,15.29,2.83,1,0,0,0
80113,111374,0.0,5,7,,2,0,6,0,0,5,1,53.37,0.0,1,0,0,0
58130,174831,0.037177818,7,7,2300.0,1,0,7,7,0,7,1,24.02,0.0,0,0,0,0
98935,155572,6.99893e-05,5,5,240.0,1,0,7,3,0,16,1,4.41,0.0,3,0,0,0
98994,96959,0.122090347,4,6,1894.0,4,0,7,6,0,0,7,11.42,0.74,3,0,0,0
82299,2546,0.034656082000000005,0,0,,0,0,0,0,0,0,0,4.52,10.03,0,0,0,0
39355,118945,0.012338886,6,7,2078.0,2,0,7,0,0,4,1,0.0,0.0,0,0,0,0
45154,71715,0.21843974,2,2,1450.0,4,0,4,1,0,7,6,7.61,30.84,0,0,0,0
83403,122873,0.175054867,4,4,,1,0,6,0,0,0,3,29.47,0.0,1,0,0,0
34645,178473,0.069753361,9,10,,1,0,17,6,0,11,4,50.07,0.0,1,1,0,0
66827,6161,0.005767451,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
10434,48439,0.0006991189999999999,1,2,4129.0,0,0,10,3,1,3,24,0.14,0.0,7,0,0,0
85496,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,42.63,5.76,0,0,0,0
63230,104434,0.188783766,3,4,,0,0,10,1,0,1,4,17.91,0.0,2,0,0,1
16879,4001,0.007122317,0,0,,0,0,0,0,0,1,0,27.75,2.83,0,0,0,0
91328,75377,7.81528e-05,4,4,1046.0,3,2,29,16,10,23,141,12.24,0.0,71,15,0,0
99816,2546,0.034656082000000005,0,0,,0,0,0,0,0,0,0,16.86,2.72,0,0,0,0
54080,21819,0.075778755,0,0,,0,0,3,3,0,2,3,11.66,0.97,0,1,0,0
12189,7122,0.017647053,0,0,,0,0,0,2,0,0,0,1.48,0.0,0,0,0,0
42106,156377,0.0,5,5,1145.0,3,0,1,2,0,5,0,24.29,0.0,2,0,0,0
41800,4001,0.007122317,0,0,,0,0,0,0,0,1,0,3.33,3.7,2,0,0,0
51789,9553,0.072157581,0,0,,0,0,1,0,0,0,1,27.33,1.6,0,1,0,0
14332,87713,0.458174486,4,4,1130.0,1,0,6,2,0,5,1,29.69,0.0,1,0,0,0
70516,153248,0.135649789,5,5,350.0,3,0,11,3,0,11,6,0.01,0.04,3,0,0,0
57505,101708,0.118537385,4,7,1183.0,1,0,5,1,0,0,1,6.55,0.0,2,0,0,0
58656,86206,0.122190486,3,3,1308.0,1,0,6,2,0,3,2,9.73,0.0,2,0,0,0
20913,129207,0.0077202819999999985,6,6,,0,0,4,2,0,4,2,2.3,0.64,12,0,0,0
52014,73007,0.050272014,3,6,1020.0,0,1,4,3,0,3,14,0.0,0.0,1,0,0,0
32806,153248,0.135649789,5,5,350.0,3,0,11,3,0,11,6,2.14,0.24,5,0,0,1
74981,13890,0.011654127,0,0,,0,0,0,1,0,0,0,0.0,0.0,1,0,0,0
60051,104434,0.188783766,3,4,,0,0,10,1,0,1,4,1.98,10.92,3,0,0,0
28305,75377,7.81528e-05,4,4,1046.0,3,2,29,16,10,23,141,12.24,0.0,71,15,0,0
43202,78616,0.093442564,6,8,3300.0,2,1,11,1,0,4,5,0.14,0.0,6,0,0,0
97284,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,42.63,5.76,0,0,0,0
41319,106445,0.151346216,6,6,830.0,4,0,7,0,0,1,10,7.27,0.0,11,0,0,0
48185,145088,0.050900058,6,6,30.0,2,0,8,3,0,3,1,4.55,0.0,4,0,0,0
81548,116742,0.007658515,5,10,2301.0,3,1,24,1,1,19,56,4.73,0.0,10,1,0,1
94463,91100,0.341071945,5,9,2300.0,3,0,12,5,0,11,48,7.39,4.03,17,0,0,0
43551,39873,0.07542368,0,0,,0,0,3,2,0,0,0,33.91,18.34,0,1,0,0
54979,9553,0.072157581,0,0,,0,0,1,0,0,0,1,11.01,0.0,0,1,0,0
64785,9553,0.072157581,0,0,,0,0,1,0,0,0,1,30.35,14.0,0,0,0,0
24829,165727,0.13321533300000002,10,13,1406.0,3,0,13,1,0,4,3,3.47,0.0,0,0,0,0
63427,86206,0.122190486,3,3,1308.0,1,0,6,2,0,3,2,2.21,9.45,2,0,0,0
75944,21819,0.075778755,0,0,,0,0,3,3,0,2,3,21.17,14.29,0,0,0,0
77950,166803,0.111627393,4,5,1970.0,2,0,18,4,0,3,8,0.0,0.0,2,0,0,0
43719,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,0.0,0.0,0,0,0,0
18040,72131,0.158249043,4,5,,1,0,4,2,0,0,0,0.53,0.0,1,0,0,0
52332,75377,7.81528e-05,4,4,1046.0,3,2,29,16,10,23,141,12.24,0.0,71,15,0,0
74111,247469,0.090799103,13,14,,5,0,16,16,0,15,2,27.68,0.0,1,0,0,0
46346,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,42.63,5.76,0,0,0,0
89417,64931,0.16909109,6,8,,2,0,5,2,0,5,10,8.11,2.35,6,0,0,0
75402,78616,0.093442564,6,8,3300.0,2,1,11,1,0,4,5,1.22,0.0,2,0,1,0
81208,53786,0.150817539,2,4,2643.0,4,0,10,2,0,5,4,5.77,1.46,2,0,0,0
98684,247469,0.090799103,13,14,,5,0,16,16,0,15,2,3.64,0.0,11,0,0,0
96820,64317,0.014423114,1,1,,0,0,2,1,0,3,4,7.37,13.09,1,0,0,1
46234,31167,0.407276235,2,2,370.0,0,0,1,2,0,0,0,30.11,0.0,0,0,0,0
74400,78616,0.093442564,6,8,3300.0,2,1,11,1,0,4,5,0.14,0.0,6,0,0,0
48822,106445,0.151346216,6,6,830.0,4,0,7,0,0,1,10,7.71,0.0,9,0,0,0
94882,57405,0.042307271,5,5,4849.0,3,0,17,6,0,6,9,0.0,14.23,9,6,0,0
19428,101708,0.118537385,4,7,1183.0,1,0,5,1,0,0,1,45.16,0.0,0,2,0,0
21660,83844,0.0,5,7,46.0,1,0,6,4,0,1,4,5.83,0.0,6,0,0,0
65975,39873,0.07542368,0,0,,0,0,3,2,0,0,0,44.97,4.72,0,0,0,0
60864,75377,7.81528e-05,4,4,1046.0,3,2,29,16,10,23,141,12.24,0.0,71,15,0,0
72359,111374,0.0,5,7,,2,0,6,0,0,5,1,42.49,0.0,1,0,0,0
30505,61039,0.0,5,5,620.0,1,1,9,5,0,2,5,1.69,0.0,1,0,0,0
24027,48439,0.0006991189999999999,1,2,4129.0,0,0,10,3,1,3,24,5.08,0.0,8,0,0,0
63219,73148,0.092290642,5,5,165.0,1,0,3,2,0,2,2,3.13,0.0,0,0,0,0
49869,83369,0.428825818,5,5,730.0,0,0,4,5,0,2,8,4.84,0.0,3,0,0,0
89003,48439,0.0006991189999999999,1,2,4129.0,0,0,10,3,1,3,24,15.6,0.0,8,1,0,0
91501,78810,0.43788524,3,3,1084.0,0,0,3,2,0,5,3,0.0,65.23,1,1,0,0
52204,39873,0.07542368,0,0,,0,0,3,2,0,0,0,32.11,11.38,1,2,0,0
23379,165727,0.13321533300000002,10,13,1406.0,3,0,13,1,0,4,3,8.63,2.68,0,0,0,0
74636,6161,0.005767451,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
92543,81887,0.020741326,4,8,1340.0,2,0,12,1,0,5,5,5.96,0.0,3,0,0,0
36825,153248,0.135649789,5,5,350.0,3,0,11,3,0,11,6,34.76,0.0,1,1,0,0
31921,5740,0.059456227,0,0,,0,0,0,0,0,0,0,4.28,1.59,0,0,0,0
67134,139322,0.225824954,7,7,1548.0,3,0,13,0,0,2,7,3.07,18.85,1,0,0,0
60823,83502,0.040242764,2,3,2729.0,3,0,9,3,0,1,11,4.5,0.0,8,0,0,0
57077,83369,0.428825818,5,5,730.0,0,0,4,5,0,2,8,0.0,0.32,0,3,0,0
36451,61039,0.0,5,5,620.0,1,1,9,5,0,2,5,29.03,0.0,7,0,0,0
66554,87713,0.458174486,4,4,1130.0,1,0,6,2,0,5,1,29.62,22.2,1,0,0,0
30868,112221,0.282797669,5,5,,0,0,5,3,0,6,2,20.41,0.0,1,0,0,0
14327,113897,0.371148999,5,5,750.0,2,0,4,3,0,5,1,8.93,0.0,0,0,0,1
97597,142462,0.035145267,7,8,2620.0,0,0,5,2,0,3,3,18.99,0.0,1,0,0,0
50291,75377,7.81528e-05,4,4,1046.0,3,2,29,16,10,23,141,12.24,0.0,71,15,0,0
74434,37502,0.210473241,1,2,1994.0,3,1,8,5,0,0,2,13.2,0.21,1,1,0,2
66270,78810,0.43788524,3,3,1084.0,0,0,3,2,0,5,3,0.11,4.07,0,0,0,0
96486,7122,0.017647053,0,0,,0,0,0,2,0,0,0,1.48,0.0,0,0,0,0
68547,77878,0.195781053,4,8,,3,0,2,2,0,2,6,0.11,0.0,2,0,0,2
83744,96959,0.122090347,4,6,1894.0,4,0,7,6,0,0,7,0.0,5.06,2,0,0,0
97188,102828,0.006076152,4,6,645.0,6,0,16,3,0,6,0,49.82,0.0,1,0,0,1
65708,48439,0.0006991189999999999,1,2,4129.0,0,0,10,3,1,3,24,8.12,0.0,7,0,0,0
59553,125111,0.019508796,8,8,176.0,5,1,12,5,1,5,11,26.0,0.0,0,0,0,0
24792,48439,0.0006991189999999999,1,2,4129.0,0,0,10,3,1,3,24,1.04,7.63,4,1,0,0
38346,155427,0.041124634,8,9,,1,0,6,2,0,10,5,5.98,13.79,0,2,0,0
40932,174831,0.037177818,7,7,2300.0,1,0,7,7,0,7,1,52.47,0.0,0,1,0,0
62628,101982,0.333891544,6,6,,0,0,7,3,0,0,1,0.0,14.53,3,2,0,1
73479,94236,0.127811589,4,6,320.0,1,1,13,3,0,3,5,0.0,46.38,2,0,0,0
50108,85219,0.161531741,6,6,30.0,2,0,4,1,0,4,1,3.95,12.74,0,0,0,0
35665,27992,0.197367951,2,2,32.0,0,0,1,4,0,1,1,17.89,0.0,0,0,0,0
22536,7122,0.017647053,0,0,,0,0,0,2,0,0,0,1.48,0.0,0,0,0,0
20478,80917,0.036122292,3,4,1036.0,1,0,11,3,0,1,0,0.04,0.0,1,0,0,0
87042,130396,0.002211665,5,6,,1,0,3,2,0,5,3,15.41,0.0,1,0,0,0
53519,247469,0.090799103,13,14,,5,0,16,16,0,15,2,6.11,0.0,3,0,0,0
47330,166803,0.111627393,4,5,1970.0,2,0,18,4,0,3,8,16.17,0.0,0,0,0,0
63307,64931,0.16909109,6,8,,2,0,5,2,0,5,10,3.56,44.85,1,0,0,0
67618,81980,0.232205084,4,4,80.0,0,0,4,2,0,3,1,4.97,9.18,1,0,0,0
85124,9553,0.072157581,0,0,,0,0,1,0,0,0,1,0.0,14.0,0,1,0,0
99667,156377,0.0,5,5,1145.0,3,0,1,2,0,5,0,23.42,0.0,1,0,0,0
30526,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,0.0,0.0,0,0,0,0
21106,80791,0.050755569,4,4,145.0,0,0,10,2,0,1,1,0.0,19.18,4,0,0,0
24147,115352,0.049637257,5,8,229.0,1,0,6,1,1,3,0,0.0,42.47,0,0,0,0
45002,21819,0.075778755,0,0,,0,0,3,3,0,2,3,64.21,2.66,0,1,0,0
76167,96959,0.122090347,4,6,1894.0,4,0,7,6,0,0,7,4.05,2.56,1,0,0,0
88201,7122,0.017647053,0,0,,0,0,0,2,0,0,0,1.48,0.0,0,0,0,0
20141,156377,0.0,5,5,1145.0,3,0,1,2,0,5,0,4.26,0.0,1,0,0,0
38221,156377,0.0,5,5,1145.0,3,0,1,2,0,5,0,0.02,0.0,1,0,0,0
20610,102828,0.006076152,4,6,645.0,6,0,16,3,0,6,0,8.05,1.18,2,0,0,0
26799,247469,0.090799103,13,14,,5,0,16,16,0,15,2,8.49,0.0,9,2,0,0
49019,9553,0.072157581,0,0,,0,0,1,0,0,0,1,69.42,0.0,0,0,0,0
72647,77878,0.195781053,4,8,,3,0,2,2,0,2,6,5.11,2.73,1,1,0,0
38071,155572,6.99893e-05,5,5,240.0,1,0,7,3,0,16,1,11.01,0.0,6,0,0,0
28904,155427,0.041124634,8,9,,1,0,6,2,0,10,5,20.69,0.0,3,0,0,0
29329,178473,0.069753361,9,10,,1,0,17,6,0,11,4,19.73,26.25,2,0,0,0
20933,247469,0.090799103,13,14,,5,0,16,16,0,15,2,26.53,0.0,2,2,0,0
75396,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,0.0,0.0,0,0,0,0
67676,96959,0.122090347,4,6,1894.0,4,0,7,6,0,0,7,5.49,0.69,2,0,0,0
17873,165727,0.13321533300000002,10,13,1406.0,3,0,13,1,0,4,3,1.85,0.0,2,0,0,0
13836,83369,0.428825818,5,5,730.0,0,0,4,5,0,2,8,7.67,0.0,4,0,0,0
49148,90114,0.0,6,6,30.0,2,0,6,1,0,8,0,41.35,0.0,1,0,0,0
56382,91100,0.341071945,5,9,2300.0,3,0,12,5,0,11,48,5.86,0.0,9,0,0,1
82922,143661,0.127375905,6,7,,3,0,3,4,0,9,3,0.0,14.32,1,0,0,0
96604,64931,0.16909109,6,8,,2,0,5,2,0,5,10,7.99,13.3,2,1,0,0
95279,4001,0.007122317,0,0,,0,0,0,0,0,1,0,38.39,2.83,0,0,0,0
44502,9553,0.072157581,0,0,,0,0,1,0,0,0,1,11.01,0.0,0,1,0,0
35919,7122,0.017647053,0,0,,0,0,0,2,0,0,0,1.48,0.0,0,0,0,0
31139,115352,0.049637257,5,8,229.0,1,0,6,1,1,3,0,0.0,42.47,0,0,0,0
20309,2546,0.034656082000000005,0,0,,0,0,0,0,0,0,0,16.86,2.72,0,0,0,0
93310,113897,0.371148999,5,5,750.0,2,0,4,3,0,5,1,2.13,45.63,0,1,0,0
36922,178473,0.069753361,9,10,,1,0,17,6,0,11,4,0.0,0.0,6,0,0,0
82987,7538,0.014072961,0,0,,0,0,0,0,0,0,0,3.12,0.0,0,0,0,0
52960,80917,0.036122292,3,4,1036.0,1,0,11,3,0,1,0,18.99,15.2,2,0,0,0
63751,85721,0.521867054,4,4,,0,0,2,0,0,0,0,5.19,15.77,1,1,0,0
47424,96959,0.122090347,4,6,1894.0,4,0,7,6,0,0,7,8.9,22.96,1,0,0,0
19149,178473,0.069753361,9,10,,1,0,17,6,0,11,4,19.28,1.33,3,0,0,0
22444,9553,0.072157581,0,0,,0,0,1,0,0,0,1,27.33,1.6,0,1,0,0
62081,4001,0.007122317,0,0,,0,0,0,0,0,1,0,10.08,0.0,0,0,0,0
83715,36154,0.086885265,2,3,1547.0,0,0,1,1,0,0,2,12.61,0.0,0,0,0,0
52598,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,42.63,5.76,0,0,0,0
50640,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,0.0,0.0,0,0,0,0
22049,174831,0.037177818,7,7,2300.0,1,0,7,7,0,7,1,22.04,0.0,3,0,0,0
65694,9553,0.072157581,0,0,,0,0,1,0,0,0,1,30.35,14.0,0,0,0,0
73885,178264,0.041116354,11,13,,1,0,13,4,0,4,4,28.64,0.0,1,1,0,0
52544,7122,0.017647053,0,0,,0,0,0,2,0,0,0,9.88,0.0,0,0,0,0
13502,71715,0.21843974,2,2,1450.0,4,0,4,1,0,7,6,0.0,14.49,1,0,0,0
79207,174831,0.037177818,7,7,2300.0,1,0,7,7,0,7,1,28.37,5.1,0,0,0,0
61683,101708,0.118537385,4,7,1183.0,1,0,5,1,0,0,1,5.45,23.32,1,0,0,0
71433,104410,0.069660344,7,9,,1,0,8,4,0,2,4,32.77,6.33,0,0,0,0
58563,21040,0.036270089,1,1,200.0,1,0,0,0,0,1,1,25.29,0.0,0,0,0,0
68378,32071,0.14890389099999998,3,3,1430.0,3,0,3,0,0,2,1,32.77,0.0,1,0,0,0
13258,65972,0.212515361,1,1,628.0,3,0,7,4,0,7,16,5.91,0.0,2,0,0,0
25212,115352,0.049637257,5,8,229.0,1,0,6,1,1,3,0,6.44,0.0,1,0,0,0
97350,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,42.63,5.76,0,0,0,0
20804,32241,0.211401214,0,0,,0,0,0,3,0,1,0,12.87,0.0,0,0,0,0
52534,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,0.0,0.0,0,0,0,0
33192,165727,0.13321533300000002,10,13,1406.0,3,0,13,1,0,4,3,6.23,0.0,0,0,0,0
16994,113897,0.371148999,5,5,750.0,2,0,4,3,0,5,1,0.0,24.01,0,0,0,0
33524,125354,0.265088676,4,5,1937.0,3,0,6,4,0,2,0,9.79,0.0,0,0,0,0
47307,102828,0.006076152,4,6,645.0,6,0,16,3,0,6,0,7.09,0.0,3,0,0,0
25479,78418,0.200146802,3,3,770.0,2,0,9,2,0,0,8,38.33,0.0,1,0,0,0
87743,9553,0.072157581,0,0,,0,0,1,0,0,0,1,0.0,14.0,0,1,0,0
25523,156377,0.0,5,5,1145.0,3,0,1,2,0,5,0,2.22,0.0,4,0,0,0
96926,48439,0.0006991189999999999,1,2,4129.0,0,0,10,3,1,3,24,2.97,7.58,6,0,0,0
91061,75377,7.81528e-05,4,4,1046.0,3,2,29,16,10,23,141,12.24,0.0,71,15,0,0
64226,115352,0.049637257,5,8,229.0,1,0,6,1,1,3,0,0.0,36.09,0,0,0,0
77879,61396,0.049863387,5,5,75.0,3,0,8,5,4,1,9,0.0,2.74,2,1,0,0
13162,41504,0.327018035,3,5,2500.0,1,0,15,0,0,0,23,0.0,10.55,45,1,0,0
48567,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,0.0,0.0,0,0,0,0
58282,37807,0.136244425,3,3,,0,0,0,0,0,1,0,23.7,13.3,0,0,0,1
47046,101708,0.118537385,4,7,1183.0,1,0,5,1,0,0,1,3.55,0.0,3,1,0,0
16853,21819,0.075778755,0,0,,0,0,3,3,0,2,3,11.66,0.97,0,1,0,0
18464,78616,0.093442564,6,8,3300.0,2,1,11,1,0,4,5,14.35,17.7,11,1,0,0
24814,17790,0.051815435,0,0,,0,0,1,1,0,0,0,32.83,0.0,0,0,0,0
37135,80917,0.036122292,3,4,1036.0,1,0,11,3,0,1,0,20.1,0.0,0,0,0,0
46079,9553,0.072157581,0,0,,0,0,1,0,0,0,1,27.33,1.6,0,1,0,0
52062,61396,0.049863387,5,5,75.0,3,0,8,5,4,1,9,5.99,0.0,5,0,0,0
20306,125111,0.019508796,8,8,176.0,5,1,12,5,1,5,11,0.0,0.0,1,0,0,0
64270,4001,0.007122317,0,0,,0,0,0,0,0,1,0,38.39,2.83,0,0,0,0
89965,142462,0.035145267,7,8,2620.0,0,0,5,2,0,3,3,6.7,0.0,2,0,0,0
28354,7538,0.014072961,0,0,,0,0,0,0,0,0,0,32.96,3.23,0,0,0,0
22574,55125,0.298204575,2,3,,1,0,2,0,0,3,3,2.63,9.09,2,0,0,0
18088,145576,0.100455735,7,7,,1,0,7,2,0,6,0,2.14,0.0,3,0,0,0
52352,85721,0.521867054,4,4,,0,0,2,0,0,0,0,6.17,37.05,0,0,0,0
43996,75377,7.81528e-05,4,4,1046.0,3,2,29,16,10,23,141,15.15,0.0,15,1,0,1
31401,118843,0.309479124,2,3,990.0,0,0,7,3,0,6,4,2.12,0.0,0,0,0,0
84305,9553,0.072157581,0,0,,0,0,1,0,0,0,1,0.0,16.17,0,1,0,0
33250,219609,0.033493708,10,11,1322.0,3,0,11,11,0,8,1,13.98,0.0,1,0,0,0
54852,78810,0.43788524,3,3,1084.0,0,0,3,2,0,5,3,0.11,4.07,0,0,0,0
85357,76284,0.313924552,4,6,3855.0,2,0,10,3,0,10,11,1.24,4.86,5,0,0,1
83709,78418,0.200146802,3,3,770.0,2,0,9,2,0,0,8,31.85,0.0,9,1,0,0
56281,13890,0.011654127,0,0,,0,0,0,1,0,0,0,0.0,0.0,1,0,0,0
47293,105663,0.161975568,4,5,4508.0,3,0,11,5,0,7,5,18.34,9.19,2,0,0,0
14099,178473,0.069753361,9,10,,1,0,17,6,0,11,4,0.0,0.0,7,0,0,0
60177,13890,0.011654127,0,0,,0,0,0,1,0,0,0,0.0,0.0,1,0,0,0
55681,26943,0.08761909,1,2,,1,0,4,0,0,0,5,17.46,8.24,6,0,0,0
25812,112221,0.282797669,5,5,,0,0,5,3,0,6,2,20.41,0.0,1,0,0,0
48561,21819,0.075778755,0,0,,0,0,3,3,0,2,3,21.17,14.29,0,0,0,0
31468,4001,0.007122317,0,0,,0,0,0,0,0,1,0,38.39,2.83,0,0,0,0
89414,139322,0.225824954,7,7,1548.0,3,0,13,0,0,2,7,0.0,25.56,2,0,0,1
49279,247469,0.090799103,13,14,,5,0,16,16,0,15,2,16.96,24.31,2,0,0,0
98579,155427,0.041124634,8,9,,1,0,6,2,0,10,5,6.6,0.0,0,1,0,0
14245,111023,0.025609157,7,7,240.0,3,0,6,4,0,1,0,0.0,1.44,1,0,0,0
55220,125111,0.019508796,8,8,176.0,5,1,12,5,1,5,11,13.24,16.66,1,0,0,0
15102,78810,0.43788524,3,3,1084.0,0,0,3,2,0,5,3,0.73,15.12,0,0,0,0
58495,55125,0.298204575,2,3,,1,0,2,0,0,3,3,6.4,0.0,10,1,0,0
50756,21155,0.0,4,4,920.0,0,0,7,1,0,4,0,22.06,0.0,1,0,0,0
91210,145088,0.050900058,6,6,30.0,2,0,8,3,0,3,1,33.83,0.0,2,0,0,0
25498,4001,0.007122317,0,0,,0,0,0,0,0,1,0,15.29,2.83,1,0,0,0
93656,247469,0.090799103,13,14,,5,0,16,16,0,15,2,18.13,0.0,8,0,0,0
35294,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,42.63,5.76,0,0,0,0
62584,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,0.0,6.53,0,0,0,0
93812,78810,0.43788524,3,3,1084.0,0,0,3,2,0,5,3,0.11,4.07,0,0,0,0
37618,142462,0.035145267,7,8,2620.0,0,0,5,2,0,3,3,8.37,0.0,1,0,0,0
25707,9553,0.072157581,0,0,,0,0,1,0,0,0,1,30.35,14.0,0,0,0,0
39936,4001,0.007122317,0,0,,0,0,0,0,0,1,0,15.29,2.83,1,0,0,0
26149,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,0.0,0.0,0,0,0,0
63966,7122,0.017647053,0,0,,0,0,0,2,0,0,0,5.72,0.0,0,0,0,0
12437,76308,0.14966637300000002,2,3,4087.0,4,0,6,3,0,1,2,25.83,18.71,3,1,0,0
43439,116742,0.007658515,5,10,2301.0,3,1,24,1,1,19,56,9.7,0.0,17,1,0,1
34481,19940,0.243204519,5,5,540.0,0,0,0,4,0,0,0,42.63,5.76,0,0,0,0
75822,103746,0.041365446,5,5,,1,0,1,0,0,4,0,8.36,3.23,0,1,0,0
18033,81980,0.232205084,4,4,80.0,0,0,4,2,0,3,1,7.42,0.0,0,0,0,0
53855,178473,0.069753361,9,10,,1,0,17,6,0,11,4,24.91,0.0,1,1,0,0
89454,139322,0.225824954,7,7,1548.0,3,0,13,0,0,2,7,20.63,0.0,0,0,0,0
50807,78810,0.43788524,3,3,1084.0,0,0,3,2,0,5,3,0.11,4.07,0,0,0,0
83817,178473,0.069753361,9,10,,1,0,17,6,0,11,4,50.07,0.0,1,1,0,0
34636,102828,0.006076152,4,6,645.0,6,0,16,3,0,6,0,6.89,0.0,1,0,0,0
89732,87713,0.458174486,4,4,1130.0,1,0,6,2,0,5,1,5.25,10.02,1,0,0,0
